Tour,Description,Price
     Cena y espectáculo en el Tablao Cordobés   ,"   Contágiate de los ritmos flamencos en el tablao Cordobés de Barcelona, una experiencia única que podrás completar con una cena gastronómica.   "," 7,5 € "
     Tour en 4x4 por los viñedos del Penedés   ,   Recorre los famosos viñedos del Penedés en una ruta en 4x4 por esta zona de Cataluña. Una degustación de vinos y cavas completa la experiencia enológica. ¿Te lo vas a perder?   , 44 € 
     Visita guiada por Sant Pau   ,"   El recinto modernista Sant Pau, declarado Patrimonio de la Humanidad, es una de las joyas arquitectónicas de Barcelona. Descubre su interior con este tour.   ", 74 € 
     Tour fotográfico por Barcelona   ,   Disfruta de Barcelona de una forma diferente y llévate unos retratos espectaculares de tu paso por la Ciudad Condal. ¡Un fotógrafo especializado te mostrará todos los secretos de la ciudad! , 27 € 
     Tour de compras a La Roca Village   ," Vive un día de shopping de lujo en La Roca Village, uno de los mayores outlets de España. Durante todo el año, podrás disfrutar de grandes descuentos de firmas nacionales e internacionales.   ", 45 € 
     Visita guiada por la Fábrica de Estrella Damm   ,"   Conoce de primera mano la Fábrica de Estrella Damm, una de las más importantes del Mediterráneo. Visitarás toda la fábrica y degustarás las elaboraciones al finalizar el tour.   ", 20 € 
     Montserrat por libre en autobús   ,   Esta excursión a Montserrat en autobús es ideal para conocer el monasterio por libre y de la manera más económica. ¡Ascenderemos 720 metros de altura subidos a un cómodo vehículo!   , 8 € 
     Entrada a la Casa Vicens   ,"   Diseñada por Antonio Gaudí, la Casa Vicens es uno de los edificios modernistas más destacados del barrio barcelonés de Gràcia. ¡Accede a su interior sin esperar colas!   ", 25 € 
     Entrada al Zoo de Barcelona   ,"   Acércate al Zoológico de Barcelona, una pequeña reserva de biodiversidad, donde podrás ver cómo viven los animales en instalaciones que reproducen el hábitat natural de cada especie.   ", 16 € 
     Tour de La Sombra del Viento   ,   Siente el placer por la literatura con este paseo guiado por Barcelona en el que volverás a emocionarte con la popular novela de Carlos Ruiz Zafón “La sombra del viento”.   ," 21,4 € "
